date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:30:58	27410/27410	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Apr%202020%2015:30:59%20GMT	https://demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/index.html	C:/Users/ubaid/Desktop/transporting/transporting/demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/index.html	(from )
20:30:59	1002/1002	---M-Z	200	added ('OK')	text/html	date:Sat,%2018%20Apr%202020%2015:31:01%20GMT	https://demo.w3layouts.com/robots.txt		(from )
20:31:00	141622/141622	---M-Z	200	added ('OK')	text/css	etag:%221505847579%22	https://demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/css/bootstrap.css	C:/Users/ubaid/Desktop/transporting/transporting/demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/css/bootstrap.css	(from https://demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/index.html)
20:31:01	32054/32054	---M-Z	200	added ('OK')	text/css	etag:%221505847579%22	https://demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/css/style.css	C:/Users/ubaid/Desktop/transporting/transporting/demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/css/style.css	(from https://demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/index.html)
20:31:02	35134/35134	---M-Z	200	added ('OK')	text/css	etag:%221505847579%22	https://demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/css/font-awesome.css	C:/Users/ubaid/Desktop/transporting/transporting/demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/css/font-awesome.css	(from https://demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/index.html)
20:31:04	95786/95786	---M-Z	200	added ('OK')	application/javascript	etag:%221505847579%22	https://demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/js/jquery-1.11.1.min.js	C:/Users/ubaid/Desktop/transporting/transporting/demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/js/jquery-1.11.1.min.js	(from https://demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/index.html)
20:31:05	67546/67546	---M-Z	200	added ('OK')	application/javascript	etag:%221505847579%22	https://demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/js/bootstrap.js	C:/Users/ubaid/Desktop/transporting/transporting/demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/js/bootstrap.js	(from https://demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/index.html)
20:31:05	3840/3840	---M-Z	200	added ('OK')	text/css	etag:%221505847579%22	https://demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/css/lightbox.css	C:/Users/ubaid/Desktop/transporting/transporting/demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/css/lightbox.css	(from https://demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/index.html)
20:31:06	6589/6589	---M-Z	200	added ('OK')	application/javascript	etag:%221505847579%22	https://demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/js/SmoothScroll.min.js	C:/Users/ubaid/Desktop/transporting/transporting/demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/js/SmoothScroll.min.js	(from https://demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/index.html)
20:31:07	3260/3260	---M-Z	200	added ('OK')	application/javascript	etag:%221505847579%22	https://demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/js/main.js	C:/Users/ubaid/Desktop/transporting/transporting/demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/js/main.js	(from https://demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/index.html)
20:31:09	57357/57357	---MCZ	200	added ('OK')	application/javascript	etag:W/%222810cf92cd9eee12826688f59e132e86%22	http://m.servedby-buysellads.com/monetization.js	C:/Users/ubaid/Desktop/transporting/transporting/m.servedby-buysellads.com/monetization.js	(from https://demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/index.html)
20:31:09	1592/1592	---MCZ	200	added ('OK')	text/javascript	etag:W/%228131fc0d79789142893a56f4c994ca33%22	https://codefund.io/properties/441/funder.js	C:/Users/ubaid/Desktop/transporting/transporting/codefund.io/properties/441/funder.js	(from https://demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/index.html)
20:31:10	24793/24793	---M-Z	200	added ('OK')	application/javascript	etag:%221570541238%22	https://demo.w3layouts.com/js/autotrack.js	C:/Users/ubaid/Desktop/transporting/transporting/demo.w3layouts.com/js/autotrack.js	(from https://demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/index.html)
20:31:11	93100/93100	---MC-	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js	C:/Users/ubaid/Desktop/transporting/transporting/ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js	(from https://demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/index.html)
20:31:11	3159/3159	---M-Z	200	added ('OK')	text/css	etag:%221575469126%22	https://demo.w3layouts.com/images/demobar_w3_4thDec2019.css	C:/Users/ubaid/Desktop/transporting/transporting/demo.w3layouts.com/images/demobar_w3_4thDec2019.css	(from https://demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/index.html)
20:31:13	252245/252245	---M--	200	added ('OK')	image/jpeg	etag:%221573815895%22	https://demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/images/2.jpg	C:/Users/ubaid/Desktop/transporting/transporting/demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/images/2.jpg	(from https://demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/index.html)
20:31:13	40751/40751	---M--	200	added ('OK')	image/jpeg	etag:%221573815895%22	https://demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/images/t1.jpg	C:/Users/ubaid/Desktop/transporting/transporting/demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/images/t1.jpg	(from https://demo.w3layouts.com/demos_new/24-12-2016/transporting-demo_Free/1146019639/web/index.html)
